ticker,name,sector,annual_return,annual_vol,sharpe,max_drawdown,risk_tier
BIMAS.IS,BIM Magazalar,Retail,0.7670745538339905,0.3599107494379015,1.4088897167587389,-0.23225462913837003,1
SAHOL.IS,Sabanci Holding,Holding,0.1686197295407086,0.3677912607764341,-0.24845688357679027,-0.4388321268750236,1
GARAN.IS,Garanti BBVA,Banking,0.6353076137407714,0.3892859555568359,0.9640923552043641,-0.2073843012993123,2
KCHOL.IS,Koc Holding,Holding,0.6527172521772439,0.4149668468623436,0.9463822354645103,-0.3687305935124454,2
SISE.IS,Sisecam,Glass,0.32881722115946344,0.4380269399546065,0.15710728012892328,-0.4323674443352673,3
EREGL.IS,Eregli Demir-Celik,Steel,0.46842659515252294,0.44897858513783295,0.46422391190113793,-0.45030756084895585,3
AKBNK.IS,Akbank,Banking,0.4173221963842261,0.4688374697388064,0.3355580697760179,-0.407294935089612,4
TUPRS.IS,Tupras,Energy,-0.030604202005564133,0.48738663564917034,-0.5962498368846253,-0.5766983335587883,4
ASELS.IS,Aselsan,Defense,0.7456494159705727,0.501831769692834,0.9677534291378833,-0.5729415812620755,5
THYAO.IS,Turkish Airlines,Transport,0.6904373652216252,0.5051332945766657,0.8521262998162882,-0.46873878028806404,5
